nombre_colegio,departamento,total_postulantes,total_ingresantes
AUGUSTO SALAZAR BONDY,PIURA,1,0
IEE RICARDO PALMA,LIMA,1,0
MARIA AUXILIADORA 7064,LIMA,1,0
INSTITUCION EDUCATIVA INDUSTRIAL HERMILIO VALDIZAN,HUANUCO,1,1
JOSÉ MARÍA ARGUEDAS 0086,LIMA,1,1
HEROES DEL ALTO CENEPA 8181,AMAZONAS,1,0
SANTA INES - SACO OLIVEROS,LIMA,1,0
COLEGIO MATEMÁTICO HONORES - CARABAYLLO,LIMA,1,0
COLEGIO THOMAS ALVA EDISON,PUNO,1,0
CONCORDIA UNIVERSAL,CALLAO,1,1
0055 MANUEL GONZALES PRADA,LIMA,1,0
I. E. S. JULIO GABANCHO ENRIQUEZ,PUNO,1,0
ELEAZAR GUZMÁN BARRON,ANCASH,1,0
SAN ALFONSO,LIMA,1,0
I.E.P EL ALBA,LIMA,1,0
JOSE ABELARDO QUIÑONES,LIMA,1,0
IE 1229 JULIO ALBERTO PONCE ANTÚNEZ DE MAYOLO,LIMA,1,0
LAS TERRAZAS 171-02,LIMA,1,0
LIBERTADORES DE AMERICA,CUSCO,1,0
SAUL CANTORAL HUAMANI 1183,LIMA,1,0
I.E.P DIVINO MAESTRO - CHORRILLOS S.A.C.,LIMA,1,0
VIRGEN DE LA MEDALLA MILAGROSA,ICA,1,1
0113 DANIEL ALOMIA ROBLES,LIMA,1,1
T.M INGENIERO,LIMA,1,0
CARLOS RUBINA BURGOS,PUNO,1,0
REPÚBLICA FEDERAL DE ALEMANIA 2088,LIMA,1,0
ROSA DE SANTA MARÍA-6088,AMAZONAS,1,0
LUIS VALLEJOS SANTONI,CUSCO,1,0
ALEXANDER VON HUMBOLDT,ICA,1,0
SACO OLIVEROS - SANTA INES,LIMA,1,0
I.E.P. LOS OLIVOS,CALLAO,1,1
IE 156 EL PORVENIR UGEL 05,LIMA,1,0
18017,AMAZONAS,1,0
ALFONSO UGARTE DE HUAYCAN,LIMA,1,0
VIRGUILIO ESPINOZA BARRIOS,LIMA,1,0
MASTER UNI,LIMA,1,0
SAN VICENTE FERRER,ICA,1,0
IES GLORIOSO SAN ANTON,LIMA,1,0
MARISCAL QUINTANILLA,LIMA,1,0
FE Y ALEGRÍA N°5,LIMA,1,0
COLEGIO PROLOG CAÑETE,LIMA,1,1
INGENIERA OQUENDO,CALLAO,1,0
I.E.P. CIMA,TACNA,1,1
INNOVA SCHOOLS EL RETABLO COMAS,LIMA,1,0
INCA PACHACUTEC 6037,LIMA,1,0
IEP SAN JUAN,LIMA,1,0
3069 GENERALÍSIMO JOSÉ DE SAN MARTIN,LIMA,1,0
I.E 164 EL AMAUTA,LIMA,1,0
ALCIDES VIGO HURTADO,UCAYALI,1,1
IEP BAUTISTA,LIMA,1,0
B GROUP,CALLAO,1,0
SERAFIN FILOMENO,SAN MARTIN,1,0
ALEJANDRO SANCHEZ ARTEAGA 16210,AMAZONAS,1,0
SACO OLIVEROS SISTEMA MARSHALL,LIMA,1,1
SACO OLIVEROS DE ATE,LIMA,1,1
SANTA MATILDE I.E.P,LIMA,1,0
ABRAHAM LINCONL,JUNIN,1,0
CEBA VON NEWMAN,LIMA,1,0
I.E. LIBERTADOR SAN MARTIN,LIMA,1,0
SIL SAN IGNACIO DE LOYOLA,LIMA,1,0
I.E. JOSÉ DEL CARMEN MARÍN ARISTA,LIMA,1,0
I.E. PEQUEÑA BELÉN,LIMA,1,0
CIENCIA Y TECNOLOGÍA,CAJAMARCA,1,1
I.E.P.C. JESUS MAESTRO,ANCASH,1,1
CORPUS CHRISTI,AREQUIPA,1,0
CESAR A. VALLEJO,LIMA,1,0
B-GROUP,CALLAO,1,0
COLEGIO SAN ISIDRO LABRADOR,CUSCO,1,0
EBENEZER,LIMA,1,0
MÁRTIR DANIEL ALCIDES CARRIÓN N°0142,LIMA,1,0
MERCEDES CABELLO DE CARBONERA,MOQUEGUA,1,0
I.E 7213 PERUANO JAPONÉS,LIMA,1,0
SEÑOR DE LA SOLEDAD,LIMA,1,0
CONSORCIO HERMANO SAN FRANCISCO,LIMA,1,0
COLEGIO MIXTO SANTA TERESITA,LIMA,1,0
CEP VIRGEN DE FATIMA DE BARRANCO,LIMA,1,1
AUGUSTO B LEGUÍA,LIMA,1,0
CRISTO REY HUARAZ,ANCASH,1,0
I.E.P. SUDAMERICANO,LIMA,1,0
SAN ANDRES,LIMA,1,0
SAN GERARDO,LIMA,1,0
INTEGRAL CLASS,LA LIBERTAD,1,0
COLEGIO GENES LOS OLIVOS,LIMA,1,0
VIRGEN DE FATIMA,LIMA,1,1
I.E. SUIZA PERUANA HUARAZ INDEPENDENCIA,ANCASH,1,1
I. E. 7054,LIMA,1,1
I.E.5124 LIBERTADOR SIMON BOLIVAR DE HIROSHIMA,CALLAO,1,0
COLEGIO PERUANO CHINO JUAN 23,LIMA,1,0
I.E.P CRISTINA BEATRIZ,LIMA,1,0
N 108 SANTA ROSA DE QUIVES,LIMA,1,0
1221 MARIA PARADO DE BELLIDO,LIMA,1,0
LÍDER INGENIEROS UNI,LIMA,1,1
JOSÉ DOMINGO CHOQUEHUANCA,PUNO,1,0
SANTO DOMINGO DE SAVIO,LIMA,1,0
MARIO VARGAS LLOSA,HUANCAVELICA,1,0
COLEGIO BYRON,ICA,1,0
I.E FE Y ALEGRIA 37,LIMA,1,0
5094 NACIONES UNIDAS,LIMA,1,0
SACO OLIVEROS HELICOIDAL I,LIMA,1,0
142 MARTIR DANIEL ALCIDES CARRION,LIMA,1,0
SALAMANCA,LIMA,1,0
LOS PROFESORES PERUANOS,LIMA,1,0
COLEGIO SIMON ANTONIO BOLÍVAR PALACIOS,ANCASH,1,1
0098 PERÚ - JAPÓN,LIMA,1,1
COLEGIO 2 DE MAYO,PUNO,1,0
MANUEL ROBLES ALARCON 120,LIMA,1,0
3098 CÉSAR VALLEJO,LIMA,1,0
IE 0146 SU SANTIDAD JUAN PABLO II,LIMA,1,0
MARTIR DE LA MEDICINA DANIEL A. CARRION,LIMA,1,0
MARIA ASUNCIÓN GALINDO,PUNO,1,1
IEP JORGE MONTOYA,LIMA,1,0
I. E. 046 LOS LIBERTADORES DE AYACUCHO,LIMA,1,0
DIVINOS JESÚS DE COMAS,LIMA,1,0
INMACULADA DE LAS NIEVES,LIMA,1,0
MATER EL MAGISTRA,LIMA,1,0
MATEMÁTICO SANTÍSIMA MARÍA,LIMA,1,1
I.E.P JOSEPH NOVAK,LIMA,1,0
I.E.P. SAN AGUSTÍN,LIMA,1,0
COLEGIO DE APLICACIÓN SAN MARCOS,LIMA,1,1
JOSÉ JIMÉNEZ BORJA,LIMA,1,0
ALFAGROUP,LIMA,1,0
FE Y ALEGRIA Nº 10,LIMA,1,1
CORAZÓN DE JESÚS,CALLAO,1,0
CORONEL FRANCISCO BOLOGNESI CERVANTES,LIMA,1,0
LAS PALMAS NUEVA ESPERANZA,LIMA,1,0
1264 JUAN ANDRÉS VIVANCO AMORÍN,LIMA,1,1
INSTITUCIÓN EDUCATIVA MIGUEL GRAU SEMINARIO,UCAYALI,1,0
I.E. 3051 EL MILAGRO,LIMA,1,0
I.E. 2002 VIRGEN MARÍA DEL ROSARIO,LIMA,1,0
SACO OLIVEROS DE VENTANILLA,CALLAO,1,0
I. E. LAS MERCEDES,APURIMAC,1,0
I. E. SAN MARTÍN DE PORRES,LIMA,1,0
LE D ALEMBERT,LIMA,1,0
KAROL WOJTYLA COLLEGE,LIMA,1,0
SAN MIGUEL ARCÁNGEL,LIMA,1,0
CRUZSACO,LIMA,1,0
COLEGIO LOS REYES ROJOS 7077,LIMA,1,0
LA UNIÓN,LIMA,1,0
FE Y ALEGRÍA N24,LIMA,1,0
IEPNP JOSÉ HÉCTOR RODRÍGUEZ TRIGOSO,LIMA,1,0
COLEGIO EL NAZARENO,LIMA,1,0
7259 VICTOR RAÚL HAYA DE LA TORRE,LIMA,1,1
PABLO FERMIN COSTA,AMAZONAS,1,0
FE Y ALEGRÍA N° 26,LIMA,1,0
SAN MARTIN,PUNO,1,0
SANTA JUANA DEL ARCO,LIMA,1,0
IEP LA CATÓLICA,LIMA,1,1
JORGE CHAVEZ DARTNELL,ICA,1,1
I.E CAP FAP JOSÉ EMILIO VELARDE VARGAS,PIURA,1,0
COLEGIO MATEMÁTICO AUNI BOSTON,LIMA,1,0
COLEGIO PAMER,LIMA,1,0
IE. MARIANO SANTOS MATEO,LIMA,1,0
FE Y ALEGRÍA N 58,LIMA,1,0
LUIS E. GALVÁN,LIMA,1,1
JOHANNES GUTENEBERG COMAS,LIMA,1,1
91 JOSE IGNACIO MIRANDA,PUNO,1,0
SAN MIGUEL,PASCO,1,0
LEONARDO DAVINCI,AYACUCHO,1,1
HUMTEC MIRAVALLES,LIMA,1,0
C.E.P ELITEX,LIMA,1,0
COLEGIOS LOGICAL,LIMA,1,1
INSTITUCIÓN EDUCATIVA LA INMACULADA DE JUANJUI,SAN MARTIN,1,0
LIMA HIGH SCHOOL COLEGIO MARÍA ALVARADO,LIMA,1,1
IEE EL BOSQUE 1182,LIMA,1,0
IEP VIRGEN DE GUADALUPE,LIMA,1,1
TORIBIO RODRÍGUEZ DE MENDOZA,LIMA,1,1
I.E. N° 5141 DIVINO MAESTRO,CALLAO,1,0
MARIA DE FATIMA,LIMA,1,0
I.E.P. A.R.A.S,LA LIBERTAD,1,0
IEP MARISCAL CASTILLA,JUNIN,1,0
INMACULADA CONCEPCIÓN,LIMA,1,1
PASCUAL SACO OLIVEROS,CALLAO,1,0
JEAN LEBLANC,LIMA,1,0
I.E.P SHALOOM,LIMA,1,0
INSTITUCIÓN EDUCATIVA PRESENTACIÓN DE MARIA N° 41,LIMA,1,0
C.T.E. JESUS OBRERO,LIMA,1,1
PEDRO CORONADO ARASSCUE,LIMA,1,0
SIMON BOLIVAR,PUNO,1,0
PLANTES DE APLICACION GUAMAN POMA DE AYALA,AYACUCHO,1,0
SAN LUIS DE BORJA SCHOOL,LIMA,1,1
SASAKAWA 7094,LIMA,1,0
MARCELINO CHAMPAGNATE,JUNIN,1,0
I.E. 3045 JOSE CARLOS MARIATEGUI LA CHIRA,LIMA,1,0
CIENCIAS Y HUMANIDADES LUIS ALBERTO SANCHEZ,LIMA,1,0
JOSE OLAYA BALANDRA,APURIMAC,1,0
IEP JAZMINES DEL NARANJAL,LIMA,1,0
IEP. ENRIQUE LOPEZ ALBUJAR,LIMA,1,0
TUPAC AMARU II MOTUPE,LIMA,1,0
I.E. 046 VICTOR RAUL HAYA DE LA TORRE,LIMA,1,0
5124 LIBERTADOR SIMON BOLÍVAR HIROSHIMA,LIMA,1,0
KINDER CRAYOLITAS,JUNIN,1,1
C.E. EL CARMELO,LIMA,1,0
ESCUELA DE JESUS,LIMA,1,0
CERMAT SCHOOL,PUNO,1,0
JUAN ESPIRNOZA MEDRANO,APURIMAC,1,0
COLEGIO HENRI LA FONTAINE,LIMA,1,0
I E P NEWTON,JUNIN,1,1
I.E. BLAS PASCAL,CALLAO,1,0
IEE CARLOS WIESSE,LIMA,1,0
SAN RAMON,CAJAMARCA,1,0
SAN NICOLÁS,LIMA,1,0
ALMIRANTE MIGUEL GRAU 787,LIMA,1,0
I.E. ESTHER FESTINI DE RAMOS OCAMPO,LIMA,1,0
7050 NICANOR RIVERA CACERES,LIMA,1,1
SAGRADO CORAZON DE JESUS 1207,LIMA,1,0
PLANTELES DE APLICACIÓN DE UNE,LIMA,1,0
PADRE ABAD,HUANUCO,1,0
ANTONIO RAIMONDI,LIMA,1,1
7079 RAMIRO PRIALE PRIALE,LIMA,1,0
I.E FRANKLIN ROOSEVELT,LIMA,1,1
I.E. MANUEL SCORZA TORRES 2032,LIMA,1,0
MI JARDÍN ABC,LIMA,1,0
PRESENTACIÓN DE MARÍA N°41,LIMA,1,1
CTE. JESUS OBRERO,LIMA,1,0
ANDRES AVELINO CACERES,LORETO,1,1
I.E JOSÉ MARÍA ARGUEDAS 2068,LIMA,1,1
GREGOR MENDEL,PUNO,1,0
CONSORCIO EDUCATIVO PARTICULAR INGENIERÍA,CALLAO,1,0
COAR APURIMAC,APURIMAC,1,1
COLEGIO JOSE DEL CARMEN MARIN ARISTA,LIMA,1,0
TÚPAC AMARU,APURIMAC,1,1
COLEGIOS MIGUEL GRAU,LIMA,1,0
MARKHAM SUR V.E.S,LIMA,1,0
IEP VIRGEN MILAGROSA,LIMA,1,0
IEP SAN JUAN BAUTISTA - COMAS,LIMA,1,1
IE HEROES DEL CENEPA,LIMA,1,0
POLITECNICO HUASCAR,PUNO,1,0
EMAUS,LIMA,1,0
DIFERENCIAL TRILCE,ANCASH,1,1
SANTO TOMÁS DE AQUINO,LAMBAYEQUE,1,0
FRANCISCO BOLOGNESI,PASCO,1,0
COLEGIO LA UNION,LIMA,1,0
LA LIBERTAD,ANCASH,1,0
SANTISIMA MARIA DE LOS CEDROS,LIMA,1,0
TRILCE,LAMBAYEQUE,1,0
I.E JOSÉ LIBERTADOR 2003,LIMA,1,1
AV.DEFENSORES DEL MORRO 1661,LIMA,1,0
JUAN VELASCO ALVARADO - EL SAUCE,PIURA,1,0
SAN JUAN MACIAS 0083,LIMA,1,0
DIVINO SAGRADO CORAZON DE JESUS,LIMA,1,1
IE 1137 JOSE ANTONIO ENCINAS,LIMA,1,0
IES CHILA,APURIMAC,1,1
MATFISQUI,LIMA,1,0
I.E INMACULADA CONCEPCIÓN,TUMBES,1,0
SAN LUIS GONZAGA,LIMA,1,0
ALEJANDRO SANCHEZ ARTEAGA,AMAZONAS,1,0
LEONHARD EULER,ICA,1,0
GERÓNIMO CAFFERATA MARAZZI 7088,LIMA,1,0
MARIANO MELGAR N°6019 VMT,LIMA,1,1
0059 SANTA MARÍA GORETTI,LIMA,1,0
I.E.NUESTRA SEÑORA DE COCHARCAS,HUANCAVELICA,1,0
FRANZ TAMAYO SOLARES,LIMA,1,0
INSTITUCIÓN EDUCATIVA ALFONSO UGARTE,LIMA,1,0
SACO OLIVEROS - SAN CARLOS,LIMA,1,0
LICEO SAN AGUSTÍN SMP,LIMA,1,0
I.E.P SAN FRANCISCO,LIMA,1,1
I.E JOSÉ MARIA ARGUEDAS,LIMA,1,1
IE REPÚBLICA DE COLOMBIA,LIMA,1,0
I.E.P. SAN SEBASTIÁN DE LIMA NORTE,LIMA,1,1
I.E.E SAN JOSÉ,LAMBAYEQUE,1,1
GABRIEL MORENO,LIMA,1,1
BALDOR,LIMA,1,1
I.E 5074 ALCIDES SPELUCIN VEGA,CALLAO,1,0
LOS INGENIEROS,ICA,1,0
5051 VIRGEN DE FATIMA,CALLAO,1,0
TRILCE SEDE CENTRAL,LIMA,1,0
COLEGIO VILLA AMÉRICA,LIMA,1,0
CEBA INCA GARCILAZO DE LA VEGA,PUNO,1,0
HANS CHRISTIAN ANDERSEN,LIMA,1,0
I.E.E INMACULADA DE LA MERCED,ANCASH,1,0
1252 SANTA ISABEL,LIMA,1,0
IEP SAN JUAN BAUTISTA,LIMA,1,1
COLEGIO CIENTIFICA,JUNIN,1,0
20955-25,LIMA,1,0
COLEGIO AGROINDUSTRIAL PUCARA,PUNO,1,0
COLEGIO MARIA AUXILIADORA - SAPCHA,ANCASH,1,0
INSTITUCIÓN EDUCATIVA INMACULADA CONCEPCIÓN,CUSCO,1,0
I.E.P. INGENIERIA,LIMA,1,0
PITÁGORAS,ICA,1,0
MI UNIVERSO,LIMA,1,0
VIRGILIO ESPINOZA BARRIOS 0033,LIMA,1,0
DIEGO THOMSOM,LIMA,1,0
I.E.P. TRINOMIO,PUNO,1,1
SALESIANO SAN FRANCISCO DE SALES,LIMA,1,1
COLEGIO MATEMATICO AUNI,LIMA,1,0
DOS DE MAYO,ANCASH,1,0
I.E KUMAMOTO I-3092,LIMA,1,0
I.E MIXTO INDEPENDENCIA,LIMA,1,0
PROLEG,LIMA,1,0
UNION,JUNIN,1,1
I.E.P GENERAL OLLANTAY,LIMA,1,1
COLEGIO TRILCE SEDE PRO,LIMA,1,1
I.E.P. KING OF KINGS,LIMA,1,0
JOSE MARTI,LIMA,1,0
MATER PURISSIMA,LIMA,1,0
I.E. N 2078 NUESTRA SEÑORA DE LOURDES,LIMA,1,0
COLEGIO NEWTON SATIPO,JUNIN,1,0
I.E.P. JESUS EL MAESTRO,LIMA,1,0
C.E SAN ANTONIO DE PADUA,LIMA,1,0
PITAGORAS LOS OLIVOS,LIMA,1,0
IE 5166 BELLA AURORA,LIMA,1,0
KAROL WOJTYLA,LIMA,1,0
COLEGIO LOS ÁLAMOS,LIMA,1,0
NUESTRA SEÑORA DE LA INMACULADA CONCEPCIÓN,LIMA,1,0
JULIO PONCE ANTUNEZ DE MAYOLO,LIMA,1,0
CRUZ SACO- ÁLAMO,LIMA,1,0
HEROES DE LA BREÑA,LIMA,1,1
JULIO ALBERTO ANTÚNEZ DE MAYOLO,LIMA,1,0
I. E. P. SANTA ÁNGELA,LIMA,1,0
UNIÓN BELLAVISTA,LIMA,1,0
HORACIO ZEBALLOS GÁMEZ,LIMA,1,0
I.E.P AMÉRICA LA VICTORIA,LIMA,1,0
NUESTRA SEÑORA DE LA RECONCILIACIÓN,LIMA,1,0
COLEGIO ANTON MAKARENKO,LIMA,1,0
I.E.P SANTA MARIA DEL CAMINO,LIMA,1,1
MANUEL A ODRIA,LIMA,1,0
LICEO NAVAL CAPITÁN DE NAVÍO JUAN FANNING GARCÍA,LIMA,1,0
SACO OLIVEROS QUILCA,CALLAO,1,0
JAIME WHITE,MADRE DE DIOS,1,0
AURELIO MIROQUE SADA SOSA 1140,LIMA,1,1
ELÍAS AGUIRRE 7224,LIMA,1,0
NICOLÁS COPERNICO,LIMA,1,0
LOS ANGELES DE JESUS 3015,LIMA,1,0
